SKU,color,size�,Main Product Title,Variant Compare At Price,Variant Price,Variant Inventory Qty,Image Src
saree-katan-silk-8,Default,MEDIUM,saree katan silk,17999,8499,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7644_0069bdf7-02b2-4f27-9b93-880d072eeebc.jpg?v=1765358797|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7705_b02348fc-338a-4ef9-a52a-749c88f58873.jpg?v=1765358836|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7702.jpg?v=1765358836|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7704_98f6d7b7-bb74-44f5-b797-7a3c7d3d0621.jpg?v=1765358836|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7707.jpg?v=1765358797
saree-katan-silk-7,Default,MEDIUM,saree katan silk,17999,8499,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7642_5be15ac6-f274-4373-9e99-a4319b8d611b.jpg?v=1765358606|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7684.jpg?v=1765358690|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7680.jpg?v=1765358690|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7682.jpg?v=1765358690|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7685.jpg?v=1765358606
saree-katan-silk-6,Default,MEDIUM,saree katan silk,17999,8499,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7640.jpg?v=1765358114|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7662.jpg?v=1765358114|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7660_f1cc86a3-c501-4a18-9ab1-0ee35446a605.jpg?v=1765358113|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7661.jpg?v=1765358114|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7668.jpg?v=1765358114|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7667.jpg?v=1765358114|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_7665_1e1c2092-1ac2-4210-bf76-a3fff9921ba8.jpg?v=1765358114
saree-munga-silk-stripe-hp,Default,MEDIUM,saree monga silk stripe h/p,15999,7599,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6248.jpg?v=1765205539|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6567.jpg?v=1765205539|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6569_e9269200-18c5-46c3-ba9c-bedb94ee5066.jpg?v=1765205540|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6568.jpg?v=1765205540|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6566_5995eabe-1cad-4f88-a363-5c71f25417ac.jpg?v=1765205538|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6570.jpg?v=1765205539|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6571.jpg?v=1765205540
saree-georgette-meena-jaal,Default,MEDIUM,saree georgette meena jaal,16999,7999,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6246.jpg?v=1765204317|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6528.jpg?v=1765204315|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6542.jpg?v=1765204316|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6540.jpg?v=1765204316|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6530.jpg?v=1765204316|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6526.jpg?v=1765204315|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6531.jpg?v=1765204316|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6541.jpg?v=1765204316
saree-georgette-stripe-h-p,Default,MEDIUM,saree georgette stripe h/p,15999,10599,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6247_df4e3663-6efe-4831-9933-9ce4fc2dd6bd.jpg?v=1765203727|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6554.jpg?v=1765203726|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6550.jpg?v=1765203726|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6553.jpg?v=1765203726|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6560.jpg?v=1765203726|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6565_8db3f472-d62c-41ea-a6a3-ce2b0d647f2f.jpg?v=1765203727|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6564.jpg?v=1765203727
saree-chiniya-stripe-crush,Default,MEDIUM,saree chiniya stripe crush,15999,7599,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6244.jpg?v=1765200312|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6512.jpg?v=1765200312|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6513.jpg?v=1765200312|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6519.jpg?v=1765200312|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6514_16403b9f-e0e2-4f86-808b-dc65c7dae1eb.jpg?v=1765200312|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6518.jpg?v=1765200312
saree-chiniya-silk-stripe,Default,MEDIUM,saree chiniya silk stripe,14999,7199,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6612.jpg?v=1765199839|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6800.jpg?v=1765199839|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6804_fa832689-8381-4d68-baa4-76fb77e77d65.jpg?v=1765199840|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6798.jpg?v=1765199839|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6802_e0cd870d-859c-40d8-8592-12a4dfb49d3c.jpg?v=1765199840|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6805.jpg?v=1765199840|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6807.jpg?v=1765199840
saree-chiniya-silk-buti,Default,MEDIUM,saree chiniya silk buti,14999,7199,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6618_2a53a3cc-8a4b-4885-8eb2-0cd09c0c6881.jpg?v=1765199358|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6840.jpg?v=1765199358|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6834_22ec65e4-99cb-4ae3-9e27-34e5dc00babc.jpg?v=1765199357|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6833_230cb86a-4cbc-4652-bac4-613a7e4c43c6.jpg?v=1765199357|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6835.jpg?v=1765199359|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6837.jpg?v=1765199358|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6841.jpg?v=1765199358
saree-chiniya-silk-buta-crush,Default,MEDIUM,saree chiniya silk buta crush,14999,7199,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6610.jpg?v=1765197532|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6790.jpg?v=1765197532|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6784_c40c4f3c-ce71-4241-8ef3-471aaa5a0cc6.jpg?v=1765197531|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6783.jpg?v=1765197531|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6785_2449d7e7-42a0-4f47-8c7e-8630c1f9f0ac.jpg?v=1765197532|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_6787.jpg?v=1765197532
